,make_model,price,gearing_type,km,kw,age
250,Audi A1,16995.0,Automatic,57178.0,67.0,0.0
251,Audi A1,16990.0,Automatic,36500.0,85.0,1.0
252,Audi A1,16990.0,Automatic,14000.0,70.0,0.0
253,Audi A1,16980.0,Automatic,59500.0,92.0,0.0
254,Audi A1,16970.0,Automatic,26861.0,85.0,0.0
255,Audi A1,16950.0,Automatic,13200.0,70.0,0.0
256,Audi A1,16975.0,Automatic,19177.0,70.0,1.0
257,Audi A1,16950.0,Automatic,19044.0,70.0,1.0
258,Audi A1,16930.0,Automatic,40500.0,70.0,0.0
259,Audi A1,16900.0,Automatic,33000.0,66.0,1.0
260,Audi A1,16900.0,Automatic,21000.0,66.0,0.0
261,Audi A1,16900.0,Automatic,58033.0,85.0,0.0
262,Audi A1,16900.0,Automatic,32000.0,85.0,0.0
263,Audi A1,17890.0,Automatic,12500.0,70.0,0.0
264,Audi A1,17890.0,Automatic,36530.0,66.0,0.0
265,Audi A1,17880.0,Automatic,5991.0,70.0,1.0
266,Audi A1,17880.0,Automatic,33306.0,70.0,0.0
267,Audi A1,17850.0,Automatic,52896.0,92.0,0.0
268,Audi A1,17750.0,Automatic,32000.0,85.0,1.0
269,Audi A1,17820.0,Automatic,9998.0,92.0,1.0
270,Audi A1,17790.0,Automatic,49198.0,67.0,0.0
271,Audi A1,17777.0,Automatic,28600.0,66.0,1.0
272,Audi A1,17820.0,Automatic,59000.0,92.0,1.0
273,Audi A1,17770.0,Automatic,10300.0,70.0,1.0
274,Audi A1,17700.0,Automatic,24550.0,70.0,0.0
275,Audi A1,17700.0,Automatic,26000.0,85.0,0.0
276,Audi A1,17700.0,Automatic,40800.0,70.0,0.0
277,Audi A1,17700.0,Automatic,24550.0,70.0,0.0
278,Audi A1,17660.0,Automatic,7701.0,70.0,0.0
279,Audi A1,17650.0,Automatic,19500.0,92.0,1.0
280,Audi A1,17650.0,Automatic,45605.0,66.0,0.0
281,Audi A1,17530.0,Automatic,45200.0,92.0,0.0
282,Audi A1,17500.0,Automatic,22500.0,70.0,1.0
283,Audi A1,15420.0,Automatic,44585.0,85.0,1.0
284,Audi A1,15250.0,Automatic,32750.0,70.0,0.0
285,Audi A1,15250.0,Automatic,61980.0,66.0,0.0
286,Audi A1,15190.0,Automatic,37500.0,70.0,0.0
287,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
288,Audi A1,15200.0,Automatic,49600.0,66.0,0.0
289,Audi A1,15180.0,Automatic,76275.0,85.0,1.0
290,Audi A1,15380.0,Automatic,46900.0,85.0,0.0
291,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
292,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
293,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
294,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
295,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
296,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
297,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
298,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
299,Audi A1,14250.0,Automatic,10000.0,70.0,0.0
300,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
301,Audi A1,14450.0,Automatic,49466.0,66.0,1.0
302,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
303,Audi A1,14470.0,Automatic,48800.0,70.0,0.0
304,Audi A1,14350.0,Automatic,94300.0,85.0,1.0
305,Audi A1,14210.0,Automatic,18600.0,70.0,1.0
306,Audi A1,14300.0,Automatic,67278.0,66.0,0.0
307,Audi A1,13892.0,Automatic,69850.0,66.0,0.0
308,Audi A1,13990.0,Automatic,46000.0,85.0,0.0
309,Audi A1,13950.0,Automatic,10000.0,70.0,0.0
310,Audi A1,13900.0,Automatic,108000.0,66.0,0.0
311,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
312,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
313,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
314,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
315,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
316,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
317,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
318,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
319,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
320,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
321,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
322,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
323,Audi A1,14990.0,Automatic,35367.0,70.0,0.0
324,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
325,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
326,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
327,Audi A1,15000.0,Automatic,78000.0,85.0,0.0
328,Audi A1,14998.0,Automatic,137066.0,85.0,0.0
329,Audi A1,14990.0,Automatic,34000.0,85.0,1.0
330,Audi A1,14990.0,Automatic,9600.0,70.0,1.0
331,Audi A1,13880.0,Automatic,88800.0,66.0,0.0
332,Audi A1,13500.0,Automatic,59150.0,66.0,0.0
333,Audi A1,13480.0,Automatic,110375.0,66.0,0.0
334,Audi A1,13450.0,Automatic,26310.0,70.0,0.0
335,Audi A1,13250.0,Automatic,65000.0,70.0,0.0
336,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
337,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
338,Audi A1,13599.0,Automatic,58380.0,66.0,0.0
339,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
340,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
341,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
342,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
343,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
344,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
345,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
346,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
347,Audi A1,15700.0,Automatic,31100.0,85.0,0.0
348,Audi A1,15680.0,Automatic,79244.0,92.0,0.0
349,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
350,Audi A1,15750.0,Automatic,58722.0,85.0,0.0
351,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
352,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
353,Audi A1,15660.0,Automatic,11725.0,70.0,0.0
354,Audi A1,15750.0,Automatic,41600.0,85.0,0.0
355,Audi A1,11000.0,Automatic,56000.0,85.0,0.0
356,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
357,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
358,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
359,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
360,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
361,Audi A1,14990.0,Automatic,60000.0,66.0,0.0
362,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
363,Audi A1,14959.0,Automatic,56967.0,70.0,0.0
364,Audi A1,14959.0,Automatic,56967.0,70.0,0.0
365,Audi A1,14930.0,Automatic,87300.0,92.0,0.0
366,Audi A1,14930.0,Automatic,86698.0,70.0,0.0
367,Audi A1,14950.0,Automatic,70000.0,66.0,0.0
368,Audi A1,14930.0,Automatic,87300.0,92.0,0.0
369,Audi A1,14900.0,Automatic,115900.0,85.0,0.0
370,Audi A1,14850.0,Automatic,25000.0,70.0,0.0
